Word,Valence,Arousal,Dominance,Frequency
chromium,4.8,2.9,5.08,33
chromosome,4.95,2.88,3.59,38
chronic,3.86,4.91,4.26,252
chronicle,6.1,3.59,5.71,80
chubby,4.33,4.88,5.11,213
chuck,5.06,3.95,5.04,1096
chuckle,7.1,5.3,5.71,81
chug,5.2,3.19,5.68,119
chum,5.3,4.18,6,156
chummy,5.95,4.21,6.23,54
chump,4.1,3.95,4.05,209
chunk,4.67,4,5.48,211
chunky,4.1,3.41,4.14,71
church,5.21,3.63,5.04,3553
churn,4.84,4.28,4.35,31
chute,4.05,2.71,5.45,184
cider,5.6,3.41,5.84,97
cigar,4.4,4.27,6.16,660
cigarette,3,4,5.05,1357
cilantro,5.81,2.95,5.64,24
cinch,4.47,3.3,5,182
cinder,4.8,3.91,5.76,39
cinema,6.86,6.05,5.94,198
cinematic,6.05,4.35,5.96,26
cinematography,5.43,4,6.04,22
cinnamon,6.75,3.72,5.91,152
cipher,5.71,4.55,5.53,76
circle,5.76,3.33,5.38,1097
circuit,4.82,4.35,5.56,340
circuitry,4.4,3.33,5.62,44
circular,5.47,3.4,5.25,81
circulate,5.19,4,5.68,47
circulation,5.71,4.05,5.59,185
circulatory,5.47,4.29,5.32,23
circumcision,4.11,4.73,3.32,34
circumference,5.24,2.71,5.3,38
circumstance,5,3.41,5.5,105
circumstantial,4,4.5,5.05,85
circumvent,5,4,5.42,26
circus,5.85,5.45,4.94,870
citadel,5.61,3.85,5.56,23
citation,3.7,3.8,3.86,81
cite,4.95,4,6.19,48
citizen,6.43,2.63,5.95,680
citizenship,7.24,5.58,5.89,68
citrus,6.36,4.16,6.46,26
city,6.12,5.08,5.04,8624
citywide,5.7,4.57,5.38,25
civic,5.74,3.5,5.5,110
civics,5.33,3.85,5.05,20
civil,5.8,2.95,6.04,813
civilian,5.48,3.7,5.58,479
civility,5.87,3.18,5.95,28
civilization,6.2,3.7,6,425
civilized,6.48,3.23,6.52,315
claim,5.15,3.9,6.06,1295
clairvoyant,5.79,5.35,5.5,36
clam,4.7,3.36,5.32,200
clambake,4.6,4.17,5.4,24
clammy,3.81,2.95,3.45,30
clamp,4.6,5.05,4.58,350
clan,5.2,3.78,4.35,209
clang,4.1,4.61,5.35,43
clap,6.05,5.15,6.19,241
clapper,5.16,4.45,5.26,20
clarification,6.06,3.25,5.64,30
clarify,6,2.85,6.04,114
clarinet,4.74,3.06,5.06,80
clarity,7.26,3.64,6.59,107
clash,3.96,5.67,4.32,68
clasp,5.19,3.52,5.47,52
class,5.73,4.43,5.24,5985
classic,6.32,3.62,6.29,824
classical,6.79,3.75,6.25,224
classification,4.77,3.45,5.74,37
classified,5.53,4.61,4.68,345
classify,5.6,4.25,6.35,32
classmate,5.95,3.32,5.61,78
classroom,5.57,4,5.05,227
classy,6.63,4.14,6.21,294
clatter,4.05,5.04,4.79,36
clause,4.9,3.32,4.8,143
claustrophobia,2.9,5.33,3.71,23
claustrophobic,2.95,6.19,3.15,68
clavicle,4.42,4,5.25,50
claw,4.65,3.65,3.8,223
clay,5.45,3.84,5.64,612
clean,7.09,3.57,6.11,6183
cleaner,5.8,3.17,6.14,353
cleanliness,7.21,4.05,6.95,31
cleanse,6.65,4.53,6.42,74
cleanser,6.4,3.61,6.24,22
cleansing,6.85,4.5,6.27,52
cleanup,4.86,3.04,6.6,100
clear,6.14,2.71,6.17,8763
clearance,6.62,4.5,5.5,350
cleat,4.24,3.61,5.42,22
cleavage,5.53,6.29,5.71,70
cleaver,4.95,5.1,5.44,68
cleft,4.36,3.54,4.57,30
clench,3.68,4.11,4.53,20
clergy,4.8,2.95,5.16,48
cleric,4.65,3.18,4.43,68
clerical,4.65,3.15,4.77,50
clerk,4.76,3.85,5.24,658
clever,7.36,5.25,7,1391
cleverness,6.95,5.55,7.1,26
click,5.7,2.81,5.52,327
clicker,5.32,3.62,5.96,21
client,5.22,2.95,4.83,2715
clientele,5.1,3.74,5.89,80
cliff,4.77,5.18,4.09,1100
climate,5.8,3.95,4,180
climax,7.53,6.83,6.21,99
climb,5.62,3.95,5.61,1007
climber,6,4.45,5.33,40
clinch,4.85,4,5.09,34
cling,4.8,4,4.63,128
clingy,3.39,4.04,4.29,30
clinic,4.95,2.95,4.52,714
clinical,4.82,4.1,4.7,149
clink,5,4.68,5.1,66
clip,5.36,2.9,5.37,290
clipboard,4.75,2.67,6.59,38
clipper,5.67,3.44,5.25,59
clipping,5.1,4.15,5.95,59
clique,4.06,4.42,4.6,39
clitoris,5.57,5.65,6.08,54
cloak,5.95,4.1,5.13,153
cloaking,4.95,3.81,5.21,42
cloakroom,4.95,2.95,5.45,33
clobber,4,4.43,4.15,30
clock,5.65,3.35,5.24,2990
clockwork,5.58,4.23,5.48,58
clog,2.95,3.23,3.58,41
clone,4.18,3.95,5,128
cloning,4.29,4.86,4.32,57
close,5.23,3.81,5.94,11191
closeness,6.85,3.9,6.48,36
closet,5.1,3.55,6.63,1381
closure,5.21,3.19,5.7,158
clot,2.95,4.17,3.71,92
cloth,6.2,2.58,5.4,311
clothe,5.74,3.64,5.61,42
clothes,6.77,3.14,5.47,5158
clothesline,5.23,4.31,5.88,21
clothing,6.37,4.44,6.72,553
cloud,6.2,2.81,4.79,599
cloudy,4.89,3.36,3.65,110
clove,5.53,3.32,5.54,26
clover,5.37,3.06,5.41,67
clown,5.36,4.94,4.38,807
club,6.5,3.76,5.11,5038
clubhouse,6.47,3.77,5.74,82
cluck,4.75,3.9,4.81,73
clue,5.38,3.52,5.39,898
clueless,3.5,3.75,3.59,94
clump,3.92,3.25,4.36,27
clumsy,4.14,4.12,4,275
clunk,4.4,4.1,4.88,32
cluster,5.05,4.21,4.89,67
clutch,4.8,4.04,5.19,127
clutter,3.67,3.68,3.19,48
coach,5.72,3.35,4.11,2429
coachman,5.22,3.05,4.28,30
coal,4.56,2.55,4.88,335
coalition,4.9,3.9,5.6,92
coarse,4.5,3.66,5.16,69
coast,5.9,4.17,5.78,1361
coastal,6.21,4.3,5.05,43
coaster,5.48,3.39,5.12,159
coastline,7.5,3.45,5,36
coat,5.29,3.1,6.68,2146
coating,5.25,3.59,5.63,23
coax,5.26,4.48,5.05,41
cobalt,5.63,3.35,6.17,30
cobbler,6,2.92,4.79,119
cobra,4.42,5.71,3.74,170
cocaine,3.05,4.5,3.56,421
cock,5.05,5.74,5.5,580
cockeyed,3.95,4.45,4.38,77
cockpit,5.53,4.9,5.61,164
cockroach,2.46,5.22,3.57,174
cocksucker,2.91,6.09,4.42,415
cocktail,6.95,5.6,5.86,555
cocky,3.45,5.8,5.27,210
cocoa,7.33,5,6.32,256
coconut,6.55,4.67,5.76,234
cocoon,5.22,2.85,4.41,57
cod,5.21,3.95,5.37,114
code,4.67,2.76,4.83,2709
codeine,4.85,4.72,3,23
codfish,5.16,3.05,4.95,21
coding,5.24,3.45,4.62,37
coed,5.68,3.62,4.48,30
coerce,3.32,5.45,5.87,21
coercion,3.5,4.33,5.12,22
coexist,5.95,3.48,5.92,25
coffee,7,5.1,6.12,7371
coffee table,5.86,3.72,5.29,0
coffeehouse,7.25,3.55,5.58,35
coffeepot,5.26,3.61,5.59,21
coffin,2.63,4.3,3.72,461
cog,4.55,4,5.16,27
cognac,4.85,4.81,5.42,135
cognitive,5.68,5.27,6.47,34
coherent,5.95,3.09,5.96,53
coil,4.94,3.72,4.82,82
coin,6.55,3.13,6.24,497
coincide,5.27,3.88,5.25,40
coincidence,5.58,3.86,4.64,948
coincidental,5.68,4.15,4.46,42
coke,6.55,4.3,5.53,948
cola,5.67,4.29,6,282
cold,4.32,3.55,5.17,6638
coleslaw,4.9,3.45,6.38,63
colic,2.95,2.89,2.95,26
coliseum,5.56,4.06,5.94,44
collaborate,6.15,4.3,6.23,31
collaboration,5.19,4.39,6.21,58
collaborator,4.91,4.73,5.45,32
collage,5.05,3.44,4.53,37
collagen,4.26,3.8,4.8,39
collapse,3.37,6.14,3.74,283
collar,4.95,3.33,4.63,536
collarbone,5.1,2.86,5.41,42
collateral,4.11,3.9,5.55,173
colleague,5.26,3.5,5.7,346
collect,5.9,3.14,5.48,1020
collection,5.9,4.44,6.9,926
collective,5.19,2.86,5.4,122
collector,5.27,4.91,5.47,220
college,6.44,4,5.89,4344
collegiate,5.3,4.95,5.85,25
collide,3.1,4.33,3.95,47
collie,6.8,3.68,5.79,53
collision,2.95,5.9,2.57,137
cologne,6.05,3.6,5.44,161
colon,4.04,3.64,4.7,129
colonel,5.18,3.9,5.72,4909
colonial,4.95,2.71,5.1,105
colonic,3.85,3.86,4.44,24
colonoscopy,2.6,4.05,3.4,24
colony,5.52,4.17,5.04,302
color,7.05,3.18,5.95,2011
colored,6.57,4.73,5.36,377
colorful,7.43,3.59,5.96,163
coloring,6.29,4.41,6.77,92
colossal,4.33,4.96,5.14,72
columbine,3.7,5.14,3.85,60
column,5,3.11,5.24,559
columnist,5.47,3.25,5.5,51
coma,1.89,3.05,2.71,626
comatose,2,3.15,3.4,50
comb,5.65,2.33,6.68,309
combat,2.95,6.09,4,706
combative,3.65,5.6,4.59,27
combination,5.47,3.5,5.96,611
combine,4.84,3.64,5.54,113
combo,6.17,4.48,5.5,125
combustion,4.43,6.26,4.14,64
come,5.64,3.57,5.94,160190
comeback,6.14,4.89,6.67,170
comedian,7.6,5.78,6.48,209
comedy,8.05,6,5.55,602
comet,6.9,4.8,4.64,157
comfort,7.24,2.76,7.18,878
comfortable,7.67,2.38,6.89,2408
comforter,6.65,3.85,5.67,20
comforting,7.47,3,7,222
comfy,7.25,2.88,6.71,115
comic,7.5,4.3,5.6,552
comical,6.95,5.1,5.64,42
comics,6.95,4.41,5.3,221
comma,4.47,3.23,5.11,50
command,4.19,4.65,7.21,2225
commandant,5.16,3.95,4.38,131
commandeer,4.43,4.45,5.74,28
commander,4.73,4.6,6.68,1887
commanding,4.57,5.95,4.64,352
commandment,5.55,4.16,5.19,83
commando,5.52,5.95,4.47,54
commemorate,5.74,2.76,5.7,47
commemorative,5.84,4.3,5.39,21
commence,5.32,3.81,5.95,235
commend,7,3.23,6.14,91
commendable,6.76,3.75,6.68,44
commendation,6.19,4.71,4.75,46
comment,5.65,3.56,5.96,654
commentary,5.5,3.5,5.45,76
commentator,5.11,4.1,5.17,139
commerce,5.21,3.95,4.85,177
commercial,4.11,4.43,4.35,829
commissary,5,3.36,5.95,29
commission,5.81,4.59,5.38,703
commissioner,4.68,3.25,5.65,624
commit,5.85,3.5,6.63,984
commitment,6.33,4.26,6,550
committee,5.52,3.56,5.56,1123
commodity,5.86,3.75,5.38,84
commodore,4.82,3.05,5.14,184
common,5.94,2.43,5.83,2275
commoner,4.42,3.05,5.05,36
commonplace,5.48,3,5.47,40
commotion,4.1,3.73,4.3,106
communal,5.47,3,4.89,33
commune,5,3.77,5.24,67
communicate,6.28,3.79,6.8,434
communication,6.73,4.16,6.43,528
communicator,5.42,3.33,5.39,36
communion,5.37,3.5,4.71,106
communism,2.94,5.1,3.12,107
communist,3.22,5.1,4.12,386
community,6.09,3.8,7.11,1486
commute,4.14,3.15,4.59,45
commuter,4.63,3.6,5.68,30
compact,4.95,3.75,5,86
companion,7.25,4.06,6.09,323
companionship,7.9,5.05,6,96
company,5.64,3.29,5,7507
comparable,5.4,4,5.95,24
comparative,5.05,3.91,6.56,41
compare,5.09,3.78,6.37,426
comparison,5.11,2.92,5.64,187
compartment,5.36,3.57,4.89,304
compass,5.75,2.85,5.75,207
compassion,7.9,4.5,6.36,319
compassionate,7.95,4.73,6.86,91
compatibility,6.5,5.32,5.5,23
compatible,6.29,4.04,6.29,120
compel,4.89,4.33,5.59,52
compelling,6,5.14,6,97
compensate,6.36,5.47,6.2,124
compensation,6.55,4.73,6.63,109
compete,5.35,4.4,5.68,432
competence,6.15,3.72,6.5,45
competent,6.05,4.09,6.44,124
competition,5.33,5.75,5.14,1066
competitive,5.45,5.7,5.5,214
competitor,4.45,6.32,5.68,70
compile,5.21,3.75,5.82,27
complacent,4.53,3.71,5,22
complain,3.1,5.18,5.1,640
complaint,3.21,4.29,3.75,518
complement,6.7,5.9,6.77,39
complete,6.5,2.57,7.17,2636
completion,7.38,4.24,7.73,79
complex,4.21,4.6,5.25,669
complexion,5.42,4.55,5.21,98
complexity,5.37,5.13,5.84,41
compliance,5.18,2.85,3.4,50
complicate,3.3,4.95,4.52,75
complicated,3.82,5.75,5.79,1385
complication,3.05,4.55,3.83,71
complicity,4.45,3.59,5.56,21
compliment,7.24,5.9,6.14,523
complimentary,6.9,5.15,5.92,96
comply,4.25,2.68,4.7,118
component,5.62,4.27,5.74,81
compose,5.64,3.85,5.8,80
composer,6.42,3.36,5.59,127
composite,4.89,3.55,5.35,64
composition,5.52,3.4,5.89,124
compost,5.47,2.71,4.52,28
compound,5.62,3.5,5.45,361
comprehend,6.57,3.94,6.73,94
comprehension,6.24,3.33,6.1,55
comprehensive,6.79,3.6,6.08,58
compress,4.85,5,4.88,31
compressed,4,3.57,4.83,46
compression,4.79,4.19,4.77,63
compressor,5.32,3.62,5.13,25
compromise,5.62,3.36,6.37,358
compulsion,3.95,4.89,3,63
compulsive,4.5,4.67,4.35,98
compulsory,4.16,3.72,4.06,37
compute,5.74,3.45,6.68,36
computer,6.84,4.92,6.58,3011
computerized,6.37,4.25,5.84,35
computing,6.09,3.67,6.6,22
comrade,7.3,4.25,5.68,436
con,3.21,4.52,3.95,644
conceal,3.95,3.74,6.05,129
concealment,4.21,4.45,5.09,26
concede,4.48,2.73,4.78,53
conceit,3.75,4.1,4.04,24
conceited,2.75,6.58,4.92,94
conceivable,5.6,4.41,6.53,61
conceive,5.63,4.95,5.92,117
concentrate,6.46,5.11,6.67,798
concentration,5.45,4,6.63,282
concept,4.89,2.9,5.37,553
conception,6,6.09,4.44,106
concern,5.05,4.7,5.55,1332
concerned,4.61,3.95,4.61,2261
concert,7,5.17,5.4,895
concerto,5.7,3.14,5.67,48
concession,5.32,3.71,5.8,69
conch,5.37,3.48,5.14,20
concierge,5.35,3.39,5.07,73
concise,5.47,3.3,5.47,22
conclude,4.81,2.57,5.85,127
conclusion,4.8,3.95,6.63,465
conclusive,5.32,3.92,6.79,61
concoction,5.52,4.16,5.63,20
concourse,4.9,3.71,5.2,34
concrete,4.82,3.63,5.9,379
concubine,3.53,5.33,4.91,64
concur,6,3.6,5.29,61
concussion,3.45,3.96,3.74,229
condemn,2.62,5.33,4.17,121
condemnation,3.15,4.1,3.18,24
condensed,4.38,4.05,5,20
condescending,3.8,5.27,4.38,66
condition,4.32,4.15,6.53,1936
conditioner,5.84,3,6.38,110
conditioning,4.89,3.77,5.96,196
condo,6.47,3.8,5.75,215
condom,5.44,5.38,6.26,263
condone,5.1,3.57,5.48,59
condor,4.76,3.55,6.06,60
conducive,5.39,3.85,5.78,23
conduct,5.21,3.64,6.12,566
conductor,5.5,4.24,5.47,155
conduit,4.5,3.48,5.48,53
cone,6.1,3.36,5.72,149
confederacy,4.15,3.75,3.9,25
confederate,4.5,3.95,5.28,95
confer,5.09,2.48,4.76,66
conference,5.1,2.95,4.88,1296
confess,4.85,4.67,5.53,808
confession,5.47,4.59,5.18,841
confessional,4.62,4.35,4.43,66
confetti,6.26,5.57,5.57,46
confidant,7.15,4.25,6.82,31
confide,6.21,3.43,6.42,97
confidence,6.71,4.04,6.5,993
confident,7.56,4.62,7.04,543
confidential,6.05,4.5,5,342
confidentiality,5.82,4.64,6.16,95
configuration,4.58,3.45,5.45,48
confine,3,3.96,3.83,50
confinement,4.05,4.83,2.46,40
confirm,5.76,3.38,6.56,736
confirmation,5.71,3.83,5.55,280
confiscate,3.59,5.68,4.24,50
conflict,3.05,5.41,4.11,444
conflicting,3.5,4.91,3.86,37
conform,4.78,3.9,3.67,44
confound,3.85,4.38,4.88,59
confounded,4.32,4.38,4.07,54
confront,4.59,6.11,5.9,218
confrontation,2.57,5.16,4.17,98
confuse,4.5,3.95,4.39,243
confused,3.11,4.28,4.13,1653
confusing,3,5.09,3.95,502
confusion,3.32,4.64,3.08,363
congenital,4.11,4.13,3.58,28
congestion,3.25,4.24,3.4,24
conglomerate,5,4.68,4.63,39
congrats,6.94,4.05,5.96,91
congratulate,6.33,4.77,7,358
congratulation,7.3,6.05,6.68,25
congratulations,7.33,5.55,6.72,3616
congregation,5.16,3.2,5,117
congress,3.55,3.61,3.48,419
congressional,4.29,3.82,4.05,105
congressman,3.71,4.09,3.67,325
conjecture,4.71,3.64,4.67,42
conjugal,4.84,4.72,5.47,40
conjunction,5.19,4.25,5.55,66
conjure,5.05,4.57,5.27,64
connect,6.61,3.47,5.96,492
connection,6,4.45,7.21,1386
connoisseur,5.85,3.68,6.53,31
conquer,4.29,5.23,5.67,254
conquering,4.58,5.75,5.55,54
conqueror,5.1,5.28,5.95,57
conquest,5.9,5.67,6.09,96
conscience,5.9,3.95,5.41,709
conscientious,6.05,3,6.54,62
conscious,5.53,4.3,6.05,347
consciousness,6.48,3.33,7.37,413
consecrated,4.81,3.7,4.95,30
consecutive,4.75,3.11,5.29,83
consensual,6.3,5.24,6.54,37
consensus,5.74,3,5.38,83
consent,6.42,3.88,6.58,379
consenting,5.47,3.8,5.8,24
consequence,3.86,4.31,4.67,160
conservation,5.2,3.17,5.79,32
conservative,4.55,2.65,4.82,192
conservatory,5.18,3.65,5.74,69
conserve,5.9,3.75,5.86,44
consider,6.56,2.71,6.06,2676
considerable,6,3.86,6.52,231
considerate,7.2,3.67,6.4,175
consideration,6.4,3.45,7.11,334
consignment,5.58,4.17,3.89,29
consist,5.21,3.14,5.25,22
consistency,6.1,2.73,6.19,39
consistent,6.43,3.19,6.77,293
consolation,5.47,3.35,4.71,186
console,6.53,4.09,5.79,114
consolidate,4.8,4.05,4.73,23
consolidated,4.5,3.8,5.54,36
consort,5.1,4.24,5.59,32
conspicuous,4.05,3.87,3.94,75
conspiracy,3.42,5.74,3.64,526
conspire,3.9,4.48,4.32,31
constable,5.2,3.1,5.23,144
constant,5.9,2.81,6.36,506
constellation,6.24,4.35,5.14,48
constipation,2.45,3.83,3.27,21
constituency,4.1,2.61,5.56,22
constitute,4.57,3.18,5.5,43
constitution,5.47,3.35,5.4,282
constitutional,5.68,3.86,5.41,112
construct,5.4,4.33,5.36,74
construction,5.53,3.73,5.74,706
constructive,5.81,4.17,6.58,111
consul,4.39,3.41,6.52,184
consulate,4.53,2.5,4.68,249
consult,5.41,3.77,5.83,285
consultant,6.05,2.76,5.68,187
consultation,5.29,4.84,5.32,64
consume,5.48,4,6.18,105
consumer,5.95,3.82,5.21,106
consummate,6.1,3.95,5.59,50
consumption,4.65,3.76,6,94
contact,6.17,3.33,5.78,3305
contagion,2.85,5.94,3.62,21
contagious,3.05,5.25,3.9,170
contain,5,3,5.68,310
container,5.7,3.57,6,219
containment,4.37,5.53,4.17,107
contaminate,3.53,5.67,4.26,36
contamination,3.11,6.71,3.78,60
contemplate,5.48,3.16,5.68,63
contemporary,5.95,3.81,5.43,99
contempt,3.22,4.61,4.45,256
contend,5.37,4.33,5.28,48
contender,5,3.32,5.91,49
content,6.7,3.17,5.92,389
contention,4.19,4.29,3.85,41
contentment,6.62,4.6,6.58,21
contents,5.79,4.46,5.76,219
contest,5.85,3.77,4.93,958
contestant,4.5,4.5,5.74,136
context,5,3.18,5.6,163
continent,6.05,3.24,5.16,187
continental,5.4,3.38,5.04,168
contingency,4.67,3.22,5.22,78
contingent,4.85,3.9,5.08,55
continuance,5.26,3.57,5.13,57
continuation,5.23,3.84,6.38,24
continue,5.61,2.9,6.17,2527
continuity,5.71,2.32,6.44,35
continuous,5.33,3.27,5.77,98
continuum,5.15,3.95,5.36,77
contraband,3.58,5.81,4.61,48
contraception,6.1,4.91,5.25,23
contract,5.1,3.95,6.84,1650
contraction,4.33,5.9,3.95,55
contractor,4.7,4.26,5.48,160
contradict,3.58,4.25,4.83,69
contradiction,3.79,5,5.21,75
contradictory,3.75,4.27,5.3,32
contraption,5.11,4.32,5.67,75
contrary,4.5,3.71,5.36,454
contrast,5.3,4.23,6.3,107
contribute,6.15,3.58,6.96,194
contribution,6.58,3.18,7,223
control,4.43,4.76,5.47,6662
controller,4.43,4.08,6.16,66
controversial,4.73,6.26,4.71,109
controversy,3.21,6.09,3.75,83
contusion,3.9,5.95,4.35,36
conundrum,3.95,3.27,3.96,25
convene,5,4.05,6,39
convenience,7.14,3.5,5.5,245
convenient,7.15,3.48,5.08,436
convent,5.05,3.86,4.25,170
convention,5,3.67,4.65,629
conventional,5.47,3.77,5.68,155
converge,4.53,4.24,5.61,32
conversation,6.72,2.65,6.28,2543
conversational,6.32,3.38,5.43,27
conversationalist,5.94,3.9,5.88,23
converse,5.37,4.25,6.05,66
conversion,5.59,4.79,5.29,66
convert,5.11,3.65,5.42,159
convertible,6.79,4.72,6.21,166
convey,5.1,3.83,5.1,136
convict,2.28,4.95,4.08,324
conviction,3.89,4.67,5.62,303
convince,5.45,4.39,6.44,955
convincing,5.6,4.21,6.82,353
convoy,5.4,3.87,5.54,181
cook,7.12,4.33,6.25,2324
cookbook,6.45,3.45,5.95,37
cooker,5.52,3,5.67,34
cookie,7.32,4.7,6.1,852
cooking,6.77,4.19,7.27,1307
cookout,7.11,4.86,6.3,39
cool,6.82,3.43,6.44,9990
coolant,5.21,3.45,5.9,35
cooler,6.1,3.83,5.92,360
cooperate,6.39,3.83,6.18,528
cooperation,6.62,3.32,6.83,407
cooperative,6.62,3.43,6.72,104
coordinate,5.5,4.59,6.95,130
coordination,6.11,3.45,6.52,60
coordinator,5.43,4.41,5.75,81
cop,4.5,4.9,2.83,4393
cope,5.1,4.1,5.95,166
copier,4.95,3.17,6.16,32
copilot,5.79,4.1,4.45,54
copper,5.6,4.14,6.19,336
copy,5.22,3.15,4.67,2666
copycat,3.33,4.62,4.67,44
copyright,4.43,2.96,5.5,31
coral,6.42,3.18,5.5,121
coral snake,4,6.28,4,0
cord,5.38,4.2,5.47,358
cordial,6.39,3.1,5.4,62
cordless,6.45,4.05,5.9,20
corduroy,5.79,3.45,4.82,34
core,6.19,3.24,5.89,501
cork,4.93,3.92,4.7,146
corkscrew,5.26,3.76,4.96,57
corn,5.95,3.43,5.65,725
cornball,5.55,3.17,5.1,20
cornbread,6.47,3.5,6.08,46
corner,4.83,3.38,4.88,2679
cornerstone,5.9,3.33,6.32,34
cornfield,5.05,3.73,5.32,36
cornflakes,6.37,3.3,5.7,25
corny,5,3,4.94,202
coronary,2.62,4.67,4.4,101
coronation,4.6,4.5,5.13,107
coroner,3,3.61,3.28,458
corporal,4.63,3.5,4.9,802
corporate,4.9,4.74,5.05,521
corporation,3.82,4.73,4.47,393
corporeal,4,3.5,4.42,25
corps,4.24,3.52,4.69,555
corpse,2.45,4.89,3.23,515
corral,4.5,3.71,5.35,119
correct,6.94,3.48,7.06,2292
correction,4.05,4.37,6.05,163
correctional,4.09,4.86,5.05,74
corrective,4.95,4.05,5.16,26
correlation,5.09,3.23,5.25,29
correspond,5.75,3.48,6.76,48
correspondence,6.59,5.05,5.71,115
correspondent,5.32,3.55,5.29,110
corresponding,5.1,4.52,5.95,29
corridor,4.76,3.53,5.35,284
corroborate,5.5,3.88,5.41,56
corrupt,3,5.98,3.7,271
corruption,3,4.86,3.63,218
corsage,6.3,3.4,5.55,48
corset,5.81,5.75,4.71,45
cortex,5.2,3.67,5.5,57
cortisone,4.42,3.39,5.06,29
cosmetic,5.09,4.87,5.74,92
cosmic,7.11,5.39,4.84,184
cosmopolitan,5.8,3.86,5.65,59
cosmos,6.5,4.27,4.14,153
cost,4.11,4.9,3.67,2801
costly,3,4.08,4.68,79
costume,6.05,4.78,6.36,721
cot,5.37,2.95,5.07,102
cottage,6.63,2.95,6.08,270
cotton,6.05,2.48,6.24,723
couch,6.52,3.4,6.19,1197
cougar,5.67,5.7,4.24,102
cough,3.57,4.5,4.25,448
council,5,3.86,5.21,863
councilman,4.19,3.26,5.12,72
counsel,5.48,2.86,5.19,726
counseling,5.9,3.4,4.2,211
counselor,5.71,3.45,4.91,506
count,5.89,2.3,5.17,4588
countdown,5.64,6.47,4.76,180
counter,5.22,2.47,5.16,709
counteract,4.73,4.27,5.1,24
counterattack,4.16,5.83,5.16,40
counterfeit,3.16,4.18,3,157
counterpart,5.38,3.4,5.57,25
counterpoint,5.24,4.4,5.53,20
countess,5.85,3.55,6.41,314
countless,4.8,4.22,4.14,121
country,6.14,3.71,6.35,8254
countryside,6.94,2.7,5.8,180
county,5.18,3.4,7,1722
coup,4.74,4.64,5,133
coupe,5.05,3.74,5.32,31
couple,7.11,4.95,5.61,11394
coupling,5.4,4.61,5.68,26
coupon,6.3,4.22,5.54,111
courage,7.67,5,7.27,1207
courageous,8.05,5.5,7.38,161
courier,5.5,3.67,5.79,168
court,3.52,4.43,3.94,5137
courteous,7.05,3.95,7.26,62
courtesy,6.79,4.3,5.96,414
courthouse,4.61,4.2,3.5,225
courtroom,2.84,4.67,3.45,427
courtship,6,5.38,5.37,59
courtside,6,4.24,6,40
courtyard,5.53,3.43,5.05,109
cousin,6.11,2.6,5.28,2491
cove,5.67,3.17,6.06,166
coven,5.43,4.8,4.78,30
covenant,5.21,4,5.35,341
cover,5.59,3.76,5.78,4808
coverage,5.77,3.19,5.96,318
covert,3.79,4.32,4.96,148
covet,4.48,4.04,5,48
coveted,5.95,4.88,4.39,39
cow,5.42,2.95,5.24,1301
coward,2.42,4.09,4.09,734
cowardice,3.05,4.25,3.64,91
cowardly,2.85,5.14,3.85,118
cowboy,5.43,4.43,5.67,968
cowgirl,6.11,5.3,5.63,60
cowhand,4.65,3.33,5.44,21
coworker,5,3.57,4.55,34
coy,5.5,3.72,5.5,88
coyote,4.05,5.55,4.38,185
cozy,7.28,3.56,6.69,288
crab,5.81,4.13,4.52,352
crabby,3.16,6,5.09,47
crack,2.68,5.25,5.42,1675
cracker,5.11,3.64,5.26,294
crackerjack,7.21,5.13,4.94,25
crackle,5.53,5.27,4.86,35
crackpot,3.38,5.1,4.05,49
cradle,6.1,3.67,4.86,145
craft,6.38,4.04,6.36,289
craftsman,6.71,4.11,6.23,47
craftsmanship,6.89,4.52,6.3,32
crafty,5.73,5.04,6.29,53
cram,4.68,4.19,5.18,77
cramp,2.91,4.73,4.5,143
cranberry,6.36,3.64,5.74,99
cranial,5.37,4.62,4.83,39
cranium,5.81,3.55,5.15,40
crank,3.85,4.67,5.17,272
cranky,3,4.71,4.36,171
crap,3.44,4.62,4.11,3151
crappy,2.35,5.26,3.92,253
crash,2.9,4.55,3.3,1461
crate,4.8,2.72,5.45,209
crater,5.15,4.84,4.79,132
crave,5.41,5.04,5,106
crawl,3.95,3.62,4.95,614
crayon,5.76,2.91,5.93,21
craze,5.33,6.45,5.22,52
crazed,3.5,6.25,4.06,107
craziness,3.82,6.83,4.32,64
crazy,5.14,5.9,4.19,13886
creak,4.68,4.4,4.61,26
creaking,4.55,4.77,5.38,142
cream,6.56,3.8,6.11,2484
creamed,6.1,4.75,5.56,82
creamer,5.47,2.81,6.09,36
creamy,6.48,3.12,6.06,60
crease,4.86,4,5.63,69
create,7.86,6.26,7,1289
creation,6.85,5.35,6.38,310
creative,7.06,4.86,6.78,548
creativity,7.73,5.3,6.79,96
creator,6.45,4.89,6.12,142
creature,6.06,4.77,4.82,1092
credence,5.79,4.64,5.26,21
credibility,7,4.05,5.92,163
credible,6.95,3.95,6.05,84
credit,5,4.38,5,2337
credit card,5.55,4.52,5.15,0
creed,5.25,3.67,4.45,129
creek,6.32,2.67,5,454
creep,2.95,4.78,4.63,573
creeper,3.61,5.68,3.86,37
creepy,2.52,5.54,4.33,568
cremation,4,5.29,4.05,41
crepe,6.48,3.62,5.55,42
crescendo,5.58,4.91,5.8,25
crescent,5.9,3.32,5.81,72
